PRQPath,PRQ UID,PRQ Name,TRQ UID,TRQ Name,TRQPath
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Configuration,2750,[PRQ2750] The administrator user interface shall allow the analysis workflow configuration to be accessible for a completed or in progress analysis.,1971,"[TRQ1971] When the workflow is published, the software shall prevent the admin user from deleting or modifying the workflow.",Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\Workflow
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Configuration,2790,[PRQ2790] The administrator user interface shall enable the user to set a default location for output files from all runs.,2045,[TRQ2045] The software shall allow an admin user to select the default directory on the lab NFS for files produced by the software.,Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\System Management
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Configuration,2795,[PRQ2795] The administrator user interface shall enable the import of custom databases.,3376,[TRQ3376] The software shall allow an admin user to import custom annotation databases.,Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\System Management
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Permissions - User Management,2752,[PRQ2752] The administrator user interface shall have an administrator level login.,2362,[TRQ2362] The analysis software global navigation bar shall provide a way for an admin user to navigate to the Configuration UI.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\ctDNA Navigation\Global Header Bar
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Permissions - User Management,2752,[PRQ2752] The administrator user interface shall have an administrator level login.,1961,[TRQ1961] The analysis software shall provide access for two privilege levels. Admin users and Lab Users.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\User Management
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Permissions - User Management,2752,[PRQ2752] The administrator user interface shall have an administrator level login.,2634,"[TRQ2634] When viewing the configuration UI, the software global navigation bar shall allow an admin user to navigate to the Analysis Tool UI.",Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\GMS Navigation
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Permissions - User Management,2804,[PRQ2804] The administrator user interface shall allow the user to add new users.,2627,[TRQ2627] The software shall allow an admin user to add users to the system.,Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\System Management
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2747,[PRQ2747] The administrator user interface shall enable the user to create an auto analysis workflow.,1966,[TRQ1966] The software shall allow an admin user to create new workflows by first copying previously existing workflows.,Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\Workflow
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2747,[PRQ2747] The administrator user interface shall enable the user to create an auto analysis workflow.,1968,"[TRQ1968] When an admin user attempt to modify a published workflow, the software shall enforce the admin user must first copy the workflow.",Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\Workflow
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2806,[PRQ2806] The administrator user interface shall allow the user to copy an existing analysis workflow.,1968,"[TRQ1968] When an admin user attempt to modify a published workflow, the software shall enforce the admin user must first copy the workflow.",Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\Workflow
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2806,[PRQ2806] The administrator user interface shall allow the user to copy an existing analysis workflow.,2373,[TRQ2373] The software shall allow an admin user to copy published and un-published workflows.,Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\Workflow
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2807,[PRQ2807] The administrator user interface shall allow the user to edit an analysis workflow that has not been published.,1967,"[TRQ1967] When Modifying workflows, the software shall allow an admin user to define a name for the workflow.",Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\Workflow
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2807,[PRQ2807] The administrator user interface shall allow the user to edit an analysis workflow that has not been published.,1972,[TRQ1972] The software shall allow an admin user to delete workflow before the workflow is published.,Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\Workflow
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2807,[PRQ2807] The administrator user interface shall allow the user to edit an analysis workflow that has not been published.,2386,[TRQ2386] The software shall allow an admin user to edit workflows before the workflow is published.,Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\Workflow
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2808,[PRQ2808] The administrator user interface shall allow the user to view existing filter sets.,2024,[TRQ2024] The analysis software shall allow a user to view saved filter sets.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Filtering
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2808,[PRQ2808] The administrator user interface shall allow the user to view existing filter sets.,1976,[TRQ1976] The analysis software shall allow a user to apply published workflows to a sample.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Workflows
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2808,[PRQ2808] The administrator user interface shall allow the user to view existing filter sets.,2387,[TRQ2387] The software shall allow an admin user to edit the following information in workflows:,Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\Workflow
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Admin User Interface\Workflow,2809,[PRQ2809] The administrator user interface shall allow the user to edit filter set information.,2387,[TRQ2387] The software shall allow an admin user to edit the following information in workflows:,Requirements\ctDNA v1\02_Technical Requirements Specification\GMS Platform Baseline Software Requirements Specification\Software Requirements\Workflow
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Performance\General,2737,[PRQ2737] The software shall be able to detect SNVs.,1957,[TRQ1957] The software shall to detect SNVs in the following assay panels:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Performance\General,2737,[PRQ2737] The software shall be able to detect SNVs.,2037,[TRQ2037] The analysis software shall to analyze data sets in which multiple panel assays were performed.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Performance\General,2738,[PRQ2738] The software shall be able to detect Large Indels (-3bp).,1958,[TRQ1958] The software shall to detect Indels in the following assay panels:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Performance\General,2738,[PRQ2738] The software shall be able to detect Large Indels (-3bp).,2037,[TRQ2037] The analysis software shall to analyze data sets in which multiple panel assays were performed.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Performance\General,2739,[PRQ2739] The software shall be able to detect CNAs.,1959,[TRQ1959] The software shall to detect CNV Amplifications in the following assay panels:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Performance\General,2739,[PRQ2739] The software shall be able to detect CNAs.,2037,[TRQ2037] The analysis software shall to analyze data sets in which multiple panel assays were performed.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Performance\General,2740,[PRQ2740] The software shall be able to detect Fusions.,1960,[TRQ1960] The software shall to detect fusions in the following assay panels:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Performance\General,2740,[PRQ2740] The software shall be able to detect Fusions.,2037,[TRQ2037] The analysis software shall to analyze data sets in which multiple panel assays were performed.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Performance\General,2741,[PRQ2741] The software shall be able to detect Short Indels (-3bp).,1958,[TRQ1958] The software shall to detect Indels in the following assay panels:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Performance\General,2741,[PRQ2741] The software shall be able to detect Short Indels (-3bp).,2037,[TRQ2037] The analysis software shall to analyze data sets in which multiple panel assays were performed.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Reproducibility,2727,"[PRQ2727] Given the same input data, the analysis pipeline shall produce results where -= 99# of aberrations will remain the same.",1954,"[TRQ1954] When a data set is re-analyzed by an identical workflow, the analysis software shall produce results in which >=99% of aberrations are identical to previously generated results.",Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Throughput,2742,[PRQ2742] The analysis pipeline shall process a typical Nextseq run (600M-800M individual reads from 300M-400M read pairs) with a high output kit for this assay from starting secondary analysis to generating tertiary report in -= 24 hours when executed o,1962,[TRQ1962] The analysis software shall complete analysis of up to 800 million paired end reads within 24 hours.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Analysis\Throughput,2797,[PRQ2797] The software shall complete tertiary analysis in -= 20 minutes per sample.,3323,[TRQ3323] The analysis software shall take less than 20 minutes to perform tertiary analysis and annotation.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\Application Security,2960,[PRQ2960] The system shall validate all input prior to sending a request to the database.,3360,[TRQ3360] The analysis software shall sanitize all application database requests.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\Off the Shelf Software,2962,[PRQ2962] The system shall deploy versions of OTSS with no major known security vulnerabilities that has been tested and verified for the application.,3362,[TRQ3362] The analysis software shall deploy versions of OTSS with no major known security vulnerabilities that has been tested and verified for the application.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\Off the Shelf Software,2963,[PRQ2963] The system shall have applied patches to fix major known vulnerabilities for Off-The-Shelf and Roche controlled software.,3363,[TRQ3363] The analysis software shall have applied patches to fix major known vulnerabilities for Off-The-Shelf and Roche controlled software.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\Off the Shelf Software,2964,[PRQ2964] The system shall remove unused components from OTSS on the system and disable unused functionality that can t be removed.,3364,[TRQ3364] The analysis software shall remove unused components from OTSS on the system and disable unused functionality that can t be removed.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\Secure Communication,2968,[PRQ2968] The system shall use an encrypted communication channel provided by TLS whenever an authentication cookie is transmitted.,3365,[TRQ3365] The analysis software shall use an encrypted communication channel provided by TLS whenever an authentication cookie is transmitted.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\Secure Communication,2969,[PRQ2969] The system shall use HTTPS between the client s web browser and the web server.,2636,[TRQ2636] The analysis software shall be accessible over HTTPS.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\Secure Communication,2970,[PRQ2970] The system shall block all unnecessary access to exposed network services with an Inbound Packet Filter,3370,[TRQ3370] The analysis software shall enforce the following IP Table rules.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\Secure Communication,2971,"[PRQ2971] The system shall limit allowed inbound and outbound communication of all network services to a certain port, application and remote system.",3366,[TRQ3366] The analysis software shall use a firewall to limit inbound and outbound network traffic on a specific port or ports.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\User Access Controls,2974,[PRQ2974] The system shall use standard one-way-encryption to store user passwords on the system,3379,[TRQ3379] The analysis software shall store user passwords as cryptographic hashes.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\User Access Controls,2975,[PRQ2975] The system shall enforce new authentication for a particular client after logout has been initiated from that client.,2351,[TRQ2351] The analysis software shall authenticate users for a session.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\User Access Controls,2976,[PRQ2976] The system shall expire user sessions after a set period of inactivity.,3371,[TRQ3371] The analysis software shall automatically log out the user and end the session after 5 minutes.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\User/Safety Manual,2979,[PRQ2979] The system shall provide instructions for customers to protect attached systems from malicious software,3372,[TRQ3372] The analysis software shall provide instructions for customers to protect attached systems from malicious software,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\User/Safety Manual,2980,[PRQ2980] The system shall provide instructions to customers to restrict physical access to the system and attached infrastructure,3373,[TRQ3373] The analysis software shall provide instructions to customers to restrict physical access to the system and attached infrastructure,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\User/Safety Manual,2981,[PRQ2981] The system shall provide instructions to customers to transmit and store backups and archive files securely,3374,[TRQ3374] The analysis software shall provide instructions to customers to transmit and store backups and archive files securely.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\User/Safety Manual,2981,[PRQ2981] The system shall provide instructions to customers to transmit and store backups and archive files securely,2638,[TRQ2638] The analysis software shall perform external backups of working databases and audit trail.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\System Infrastructure
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Security\User/Safety Manual,2982,[PRQ2982] The system shall provide emergency procedures to deploy software patches in case of critical vulnerabilities,3375,[TRQ3375] The analysis software shall provide emergency procedures to deploy software patches in case of critical vulnerabilities.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2748,[PRQ2748] The software shall follow a standard naming convention for the generated files.,1973,[TRQ1973] The analysis software shall place output files in the following standard directory structure:  Run name / samples / sample name /,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2766,[PRQ2766] The software shall not overwrite previously generated automated reports.,1997,[TRQ1997] The analysis software shall name manually generated reports uniquely from all other reports by default.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2768,[PRQ2768] The software shall allow the user to download the aberration (VCF) data in TXT format.,3393,[TRQ3393] The analysis software shall allow a user to export VCF data in TXT format.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2769,[PRQ2769] The software shall allow the user to download the aberration (VCF) data in JSON format.,2000,[TRQ2000] The analysis software shall allow the user to export VCF data as a JSON file.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2770,[PRQ2770] The software shall allow the user to download the aberration (VCF) data in PDF format.,2004,[TRQ2004] The analysis software shall allow the user to export an aberration report as a PDF file.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2791,[PRQ2791] The software shall enable the user to select data from the servers given sufficient priveleges and proper configuration.,2046,"[TRQ2046] When a user has rights to the directory, the analysis software shall allow a user to select data from the lab NFS.",Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\System Infrastructure
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2792,[PRQ2792] The software shall enable the user to browse and select output data from the sequencer from the servers given sufficient UNIX priveleges and proper configuration.,2046,"[TRQ2046] When a user has rights to the directory, the analysis software shall allow a user to select data from the lab NFS.",Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\System Infrastructure
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2792,[PRQ2792] The software shall enable the user to browse and select output data from the sequencer from the servers given sufficient UNIX priveleges and proper configuration.,2635,[TRQ2635] The analysis software shall read input data and write output data over NFSv3.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\System Infrastructure
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2794,[PRQ2794] The software shall have annotation databases installed on the users network storage.,2047,[TRQ2047] The analysis software shall use locally stored versions of the annotation databases.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\System Infrastructure
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2860,[PRQ2860] The software shall generate analysis output file in VCF format,2000,[TRQ2000] The analysis software shall allow the user to export VCF data as a JSON file.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Data Management,2860,[PRQ2860] The software shall generate analysis output file in VCF format,3393,[TRQ3393] The analysis software shall allow a user to export VCF data in TXT format.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
