Req ID,Description,Name,Comments,Priority,Req Parent
2727,"Given the same input data, the analysis pipeline shall produce results where >= 99% of aberrations will remain the same.","[PRQ2727] Given the same input data, the analysis pipeline shall produce results where -= 99# of aberrations will remain the same.",S1.01-1,1 - high,Reproducibility
2731,The software shall provide the user with the input data and corresponding automated report from a complete analysis run.,[PRQ2731] The software shall provide the user with the input data and corresponding automated report from a complete analysis run.,S1.01-4,1 - high,Usability
2733,The assay and analysis package shall detect SNVs at a sensitivity of > 90% proximate to 0.5% MAF (mutant allele frequency) and mean false positive rate of < 1 SNV per 10kb of reference sites within the panel assuming a minimum of 30ng DNA input and a minimum of 25M single end reads for the Targeted Panel.  This performance requirement depends on having a minimum barcode deduped depth of 3000 at the tested SNV positions.,[PRQ2733] The assay and analysis package shall detect SNVs at a sensitivity of - 90# proximate to 0.5# MAF (mutant allele frequency) and mean false positive rate of - 1 SNV per 10kb of reference sites within the panel assuming a minimum of 30ng DNA input,S4.01-7,1 - high,Sensitivity
2737,The software shall be able to detect SNVs.,[PRQ2737] The software shall be able to detect SNVs.,S5.01-12,1 - high,General
2742,"The analysis pipeline shall process a typical Nextseq run (600M-800M individual reads from 300M-400M read pairs) with a high output kit for this assay from starting secondary analysis to generating tertiary report in <= 24 hours when executed on the required server, given that the network attached storage is not limiting data IO.",[PRQ2742] The analysis pipeline shall process a typical Nextseq run (600M-800M individual reads from 300M-400M read pairs) with a high output kit for this assay from starting secondary analysis to generating tertiary report in -= 24 hours when executed o,S6.01-18,1 - high,Throughput
2743,The software platform shall be optimized for the analysis pipeline to enable processing of a typical Nextseq run (600M-800M individual reads from 300M-400M read pairs) with a high output kit for this assay in <= 24 hours.,[PRQ2743] The software platform shall be optimized for the analysis pipeline to enable processing of a typical Nextseq run (600M-800M individual reads from 300M-400M read pairs) with a high output kit for this assay in -= 24 hours.,S6.01-19,1 - high,Execution Engine
2744,The hardware shall enable the analysis pipeline to process a typical Nextseq run (600M-800M individual reads from 300M-400M read pairs) with a high output kit for this assay in <= 24 hours.,[PRQ2744] The hardware shall enable the analysis pipeline to process a typical Nextseq run (600M-800M individual reads from 300M-400M read pairs) with a high output kit for this assay in -= 24 hours.,S6.01-20,1 - high,Performance
2751,The software shall enable the user to run any exposed analysis workflows after logging into the system.,[PRQ2751] The software shall enable the user to run any exposed analysis workflows after logging into the system.,S7.08-46,1 - high,Permissions and User Management
2748,The software shall follow a standard naming convention for the generated files.,[PRQ2748] The software shall follow a standard naming convention for the generated files.,S7.05-38,1 - high,Data Management
2786,The software shall enable the user to set the output directory on the users network storage for files produced by the analysis pipeline.,[PRQ2786] The software shall enable the user to set the output directory on the users network storage for files produced by the analysis pipeline.,S24.02-178,1 - high,Configuration
2790,The administrator user interface shall enable the user to set a default location for output files from all runs.,[PRQ2790] The administrator user interface shall enable the user to set a default location for output files from all runs.,S24.02-182,1 - high,Configuration
2806,The administrator user interface shall allow the user to copy an existing analysis workflow.,[PRQ2806] The administrator user interface shall allow the user to copy an existing analysis workflow.,222,1 - high,Workflow
2814,The software shall display the status of each sample,[PRQ2814] The software shall display the status of each sample,265,1 - high,General Run Results
2815,The software shall produce a report with QC metrics.,[PRQ2815] The software shall produce a report with QC metrics.,266,1 - high,QC Report
2838,The software shall display the detected SNVs and Indels for the Targeted Panel sample.,[PRQ2838] The software shall display the detected SNVs and Indels for the Targeted Panel sample.,289,1 - high,Sample Results
2804,The administrator user interface shall allow the user to add new users.,[PRQ2804] The administrator user interface shall allow the user to add new users.,219,1 - high,Permissions and User Management
2810,The software shall allow the user to create a new filter set.,[PRQ2810] The software shall allow the user to create a new filter set.,226,1 - high,Workflow
2861,The software shall display the automatically generated unique analysis job ID of all analysis jobs,[PRQ2861] The software shall display the automatically generated unique analysis job ID of all analysis jobs,315,1 - high,Monitoring
2873,The software shall generate an automated unique analysis run ID,[PRQ2873] The software shall generate an automated unique analysis run ID,347,1 - high,Run Design
2853,The sample results report shall display the sample information,[PRQ2853] The sample results report shall display the sample information,304,1 - high,Variant Report
2890,The software shall allow FSE to perform software upgrade,[PRQ2890] The software shall allow FSE to perform software upgrade,371,1 - high,Install and Upgrade
