2349,"When an error occurs during CSV sample information import, the analysis software shall prevent importing samples and display an error message to the user.","When an error occurs during CSV sample information import, the analysis software shall prevent importing samples and display an error message to the user.",Error Handling
1961,The analysis software shall provide access for two privilege levels. Admin users and Lab Users.,The analysis software shall provide access for two privilege levels. Admin users and Lab Users.,User Management
2019,The analysis software shall produce a Quality Control Report with a graph of the Allele Fraction Distribution.,The analysis software shall produce a Quality Control Report with a graph of the Allele Fraction Distribution.,Report
2018,The analysis software shall allow filtering results by common SNPs from dbSNP.,The analysis software shall allow filtering results by common SNPs from dbSNP.,Filtering
2015,The analysis software shall allow filtering results by allele frequency of variants found in ExAC.,The analysis software shall allow filtering results by allele frequency of variants found in ExAC.,Filtering
2014,The analysis software shall allow filtering results by allele frequency of variants found in 1000 Genomes.,The analysis software shall allow filtering results by allele frequency of variants found in 1000 Genomes.,Filtering
2017,The analysis software shall allow the user to filter by the following SNPEff criteria:,"The analysis software shall allow the user to filter by the following SNPEff criteria:
- Codon Indel
- Frameshift
- Nonsynonymous coding
- Splice site change
- Start gain
- Start lost
- Stop gain or Stop Lost
- UTR deleted",Filtering
2016,The analysis software shall allow users to filter variants such that displayed variants match at least one of the selected SNPEff criteria.,The analysis software shall allow users to filter variants such that displayed variants match at least one of the selected SNPEff criteria.,Filtering
2010,The detailed data for SNVs in the reports shall contain the following information: ISSUE,"The detailed data for SNVs in the reports shall contain the following information:
- Gene
- Nucleotide Change
- Genomic Position
- Allele Fraction
- Mutant Molecules per ml
- Alternate Depth: Total Read Depth
- Transcript
- Amino Acid Change
- Exon for Amino Acid Change
- Variant Type
- ExAC Global Frequency
- dbSNP ID
- COSMIC ID
- Link to COSMIC is applicable
- Primary Tissue(s) from COSMIC
- Sample Count according to COSMIC
- ID in TCGA
- Primary Cancer Types from TCGA
- Number of Cases from TCGA
- Custom Annotations if applicable",Report
2013,The analysis software shall allow users to filter results somatic mutations found in COSMIC,The analysis software shall allow users to filter results somatic mutations found in COSMIC,Filtering
1955,The analysis software shall detect mutant DNA with a sensitivity lower limit of 0.25% mutant allele frequency.,The analysis software shall detect mutant DNA with a sensitivity lower limit of 0.25% mutant allele frequency.,Analysis
1954,"When a data set is re-analyzed by an identical workflow, the analysis software shall produce results in which >=99% of aberrations are identical to previously generated results.","When a data set is re-analyzed by an identical workflow, the analysis software shall produce results in which >=99% of aberrations are identical to previously generated results.",Analysis
1957,The software shall to detect SNVs in all assay panels.,The software shall to detect SNVs in all assay panels.,Analysis
1956,The analysis software shall determine mutant allele frequency with a positive predictive value of >= 95%.,The analysis software shall determine mutant allele frequency with a positive predictive value of >= 95%.,Analysis
1959,The software shall to detect CNVs in all assay panels.,The software shall to detect CNVs in all assay panels.,Analysis
1958,The software shall to detect indels in all assay panels.,The software shall to detect indels in all assay panels.,Analysis
2068,The analysis software shall provide a way to search for existing runs in all run states.,The analysis software shall provide a way to search for existing runs in all run states.,Run Information
2069,The analysis software shall provide a way to create a new run.,The analysis software shall provide a way to create a new run.,Run Setup
2390,The analysis software shall produce reports containing the following tracking information:,"The analysis software shall produce reports containing the following tracking information:
- Run Name
- Run ID generated from GMS
- Analysis Completion Datetime
- Operator
- Flow Cell ID
- Sequencer Data Path
- Sequencer Started Datetime
- Sequencing instrument name
- Number of samples sequenced in Flow Cell Lane
- Sample ID
- Assay Panel
- Assay Adapter
- Analysis Analysis Workflow
- Filter set
- Total DNA Mass in nanograms (ng)
- Plasma Volumes in milliliters (ml)",Report
2065,The analysis software shall allow a user to define a directory path where files output from analysis will be saved.,The analysis software shall allow a user to define a directory path where files output from analysis will be saved.,Run Settings
2066,The analysis software shall display the following status information for the most recent 10 Runs on the home screen:,"The analysis software shall display the following status information for the most recent 10 Runs on the home screen:
- Runs in Setup to be finalized
- Queued Runs
- Analysis
- Completed Runs",Run Information
2067,The analysis software shall allow a user to access details about runs which are owned by that user.,The analysis software shall allow a user to access details about runs which are owned by that user.,Run Information
2026,The analysis software shall produce a Quality Control Report with the following sample analysis information:,"The analysis software shall produce a Quality Control Report with the following sample analysis information:
- Number of Read Pairs
- Properly paired aligned read percentage
- Error Rate as percentage
- Median fragment length after deduplication",Report
2381,"When displaying the SNV and Indel table, the analysis software shall display a legend for the colored database icons in the Annotation Column.","When displaying the SNV and Indel table, the analysis software shall display a legend for the colored database icons in the Annotation Column.",Results View
2380,"When displaying the SNV and Indel table, the analysis software shall display corroborating Annotation from databases as colored icons.","When displaying the SNV and Indel table, the analysis software shall display corroborating Annotation from databases as colored icons.",Results View
2027,"The analysis software shall generate reports with separate tables for SNVs and Indels, CNVs, and fusions.","The analysis software shall generate reports with separate tables for SNVs and Indels, CNVs, and fusions.",Report
2385,"When an admin user saves a workflow, the analysis software shall generate a unique name for the workflow by default.","When an admin user saves a workflow, the analysis software shall generate a unique name for the workflow by default.",Workflows
2387,The analysis software shall allow an admin user to edit the following information in workflows:,"The analysis software shall allow an admin user to edit the following information in workflows:
- Publish state of workflow
- Panel
- Description
- Filter set
- Custom annotation
- Variants to report
- Output directory of analysis files
- Option to receive email upon job completion",Workflows
2386,The analysis software shall allow an admin user to edit workflows before the workflow is published.,The analysis software shall allow an admin user to edit workflows before the workflow is published.,Workflows
2388,The analysis software run header shall allow users to navigate through the following steps:,"The analysis software run header shall allow users to navigate through the following steps:
- Sample Entry
- Run Settings
- File Selection
- Analysis
- Results",Run Setup
2071,The analysis software shall display the following information for Runs in the queued state:,"The analysis software shall display the following information for Runs in the queued state:
- Run Name
- User ID of owner (user who started run)
- Numbered position in the queue
- Time elapsed since run entered queue",Run Information
2070,The analysis software shall display the following information for Runs in the analysis state:,"The analysis software shall display the following information for Runs in the analysis state:
- Run Name
- User ID of owner (user who started run)
- Lock icon if run was not started by current user
- Time elapsed since run was started",Run Information
2046,"When a user has rights to the directory, the analysis software shall allow a user to select data from the lab NFS.","When a user has rights to the directory, the analysis software shall allow a user to select data from the lab NFS.",System Infrastructure
2047,The analysis software shall use locally stored versions of the annotation databases.,The analysis software shall use locally stored versions of the annotation databases.,System Infrastructure
2044,"When the user selects view run details, the analysis software shall display analysis status per sample, including the following information for each sample:","When the user selects view run details, the analysis software shall display analysis status per sample, including the following information for each sample:
- Run Name
- Elapsed Time of analysis
- Sample ID
- Panel
- Analysis Workflow
- Error description if error has occurred
- Analysis description if analysis is running",Results View
2045,The analysis software shall allow an admin user to select the default directory on the lab NFS for files produced by the analysis software.,The analysis software shall allow an admin user to select the default directory on the lab NFS for files produced by the analysis software.,System Infrastructure
2042,"When the user views run details, the analysis software shall display the run status as the following color codes:","When the user views run details, the analysis software shall display the run status as the following color codes:
- Black as running
- Green as complete
- Red as error state",Results View
2043,The analysis software shall display the estimated time remaining for an analysis run.,The analysis software shall display the estimated time remaining for an analysis run.,Analysis
2040,"When an error occurs during analysis, the analysis software shall terminate analysis and provide an error report. ISSUE, What is in Error Report","When an error occurs during analysis, the analysis software shall terminate analysis and provide an error report.",Error Handling
2041,"When a user cancels a run, the analysis software shall display the run as completed with a message about the cancellation.","When a user cancels a run, the analysis software shall display the run as completed with a message about the cancellation.",Analysis
2028,The analysis software shall generate reports with summary sections for each aberration type.,The analysis software shall generate reports with summary sections for each aberration type.,Report
2029,The analysis software shall generate reports with summary sections for somatic mutations,The analysis software shall generate reports with summary sections for somatic mutations,Report
2378,"When a sample fails to analyze, the analysis software shall provide a reason for failure of that sample.","When a samples fails to analyze, the analysis software shall provide a reason for failure of that sample.",Report
2379,"When displaying the SNV and Indel table, the analysis software shall use abbreviated HGVS p. for protein variants and HGVS c. notation for nucleotide variant identification.","When displaying the SNV and Indel table, the analysis software shall use abbreviated HGVS p. for protein variants and HGVS c. notation for nucleotide variant identification.",Results View
2374,"When the user views the fusion results for an individual sample, the analysis software shall display fusion information in a table with the column headers listed as:","When the user views the fusion results for an individual sample, the analysis software shall display fusion information in a table with the column headers listed as:
- Gene 1
- Breakpoint
- Gene 2
- Breakpoint",Results View
2375,The analysis software shall allow the user to select the directory for BCL or FASTQ files to analyze.,The analysis software shall allow the user to select the directory for BCL or FASTQ files to analyze.,Run Settings
2376,The analysis software shall allow a user to define comma delimited email addresses for users to be notified when analysis is complete in the Run Settings.,The analysis software shall allow a user to define comma delimited email addresses for users to be notified when analysis is complete in the Run Settings.,Run Settings
2377,The analysis software shall notify by email the logged in user when the analysis is completed by default.,The analysis software shall notify by email the logged in user when the analysis is completed by default.,Run Settings
2370,"When invalid characters are entered into the Sample ID field, the analysis software shall display a red box highlighting the field as an error for the user. ISSUE, Invalid chars?","When invalid characters are entered into the Sample ID field, the analysis software shall display a red box highlighting the field as an error for the user.",Error Handling
2373,The analysis software shall allow admin users to copy published and un-published workflows.,The analysis software shall allow admin users to copy published and un-published workflows.,Workflows
2613,"When a user selects BCL files for analysis, The analysis software shall automatically convert the BCL files to FASTQ files.","When a user selects BCL files for analysis, The analysis software shall automatically convert the BCL files to FASTQ files.",Run Settings
2612,"When a user chooses to manually select FASTQ files for analysis, the analysis software shall require a user to select both paired end FASTQ files in Run Settings.","When a user chooses to manually select FASTQ files for analysis, the analysis software shall require a user to select both paired end FASTQ files in Run Settings.",Run Settings
2619,The analysis software shall allow a user to cancel runs owned by that user which are running or queued.,The analysis software shall allow a user to cancel runs owned by that user which are running or queued.,Analysis
2618,Analysis runs shall be owned by the user who created them.,Analysis runs shall be owned by the user who created them.,Analysis
1986,The analysis software shall calculate mutant copies per milliliter for Indels in all assay panels.,The analysis software shall calculate mutant copies per milliliter for Indels in all assay panels.,Analysis
1987,The analysis software shall display individual sample CNV information in a table with the column headers listed as:,"The analysis software shall display individual sample CNV information in a table with the column headers listed as:
- Gene
- Segment Range",Results View
1984,The analysis software shall display the status of a sample as  Successful  or  Failed  in the color code:,"The analysis software shall display the status of a sample as ""Successful"" or ""Failed"" in the color code:
- Green for Successful
- Red for Failed",Results View
1985,The analysis software shall calculate allele frequency of Indels in all assay panels.,The analysis software shall calculate allele frequency of Indels in all assay panels.,Analysis
1982,The analysis software shall display SNV and Indel information in a table with the column headers listed as:,"The analysis software shall display SNV and Indel information in a table with the column headers listed as:
- Gene
- Variant Description
- Variant
- Location
- Allele fraction as a percentage
- Annotation from specific Databases",Results View
1983,The SNV and Indel results table shall be sortable alphanumerically in ascending or descending order by the following columns:,"The SNV and Indel results table shall be sortable alphanumerically in ascending or descending order by the following columns:
- Gene
- Variant Description
- Variant
- Location
- Allele fraction as a percentage",Results View
