PRQ UID,TRQ UID
2750,1971
2790,2045
2795,3376
2752,2362
2752,1961
2752,2634
2804,2627
2747,1966
2747,1968
2806,1968
2806,2373
2807,1967
2807,1972
2807,2386
2808,2024
2808,1976
2808,2387
2809,2387
2737,1957
2737,2037
2738,1958
2738,2037
2739,1959
2739,2037
2740,1960
2740,2037
2741,1958
2741,2037
2727,1954
2742,1962
2797,3323
2960,3360
2962,3362
2963,3363
2964,3364
2968,3365
2969,2636
2970,3370
2971,3366
2974,3379
2975,2351
2976,3371
2979,3372
2980,3373
2981,3374
2981,2638
2982,3375
2748,1973
2766,1997
2768,3393
2769,2000
2770,2004
2791,2046
2792,2046
2792,2635
2794,2047
2860,2000
2860,3393
2743,1962
2743,1963
2764,1989
2780,2035
2890,2036
3355,3375
2786,2065
2813,2633
2813,2376
2815,2001
2815,2019
2815,2026
2816,2003
2817,3380
2818,1977
2819,1977
2820,1977
2821,1977
2822,1977
2823,2032
2824,1977
2765,1990
2765,2031
2773,2006
2773,2007
2773,2008
2773,2009
2773,2028
2779,2006
2779,2007
2779,2008
2796,2631
2851,2004
2851,2680
2852,2000
2852,2680
2853,2390
2854,2010
2855,2010
2856,2390
2859,3383
2872,2390
2814,2666
2814,1984
2828,2044
2829,2044
2830,2044
2833,2044
2833,3358
2834,2044
2835,2044
2836,3358
2837,3358
2871,3358
2753,1978
2753,2019
2753,2629
2754,1979
2754,2629
2756,1983
2757,1985
2757,2019
2758,1986
2760,2008
2763,1988
2771,2013
2771,2014
2771,2015
2771,2016
2771,2018
2771,2679
2774,1983
2774,2030
2774,2033
2775,2016
2775,2034
2777,1983
2777,2030
2777,2033
2826,2620
2826,2621
2826,2622
2826,2623
2826,2670
2827,2642
2838,2668
2838,1982
2838,2027
2839,2668
2839,2027
2840,2668
2840,1988
2840,2027
2841,2668
2841,1982
2841,2027
2842,2668
2842,2027
2843,2668
2843,1988
2843,2027
2844,1982
2844,2629
2845,1982
2845,2629
2846,1982
2846,2380
2846,2381
2846,2629
2847,1982
2847,2379
2847,2629
2848,1987
2849,1988
2849,2374
2850,1988
2850,2374
2858,2023
2858,2624
2858,2626
2858,2679
2785,2667
2785,2039
2785,2672
2785,2673
2785,2674
2785,2040
2861,3358
2862,2066
2862,2068
2862,2071
2862,2354
2862,2355
2862,2356
2862,2357
2862,2358
2862,2367
2863,2066
2863,2070
2863,2354
2863,2355
2863,2356
2863,2357
2863,2358
2863,2367
2863,2042
2863,3358
2864,2041
2864,2066
2864,2348
2864,2354
2864,2355
2864,2356
2864,2357
2864,2358
2864,2367
2864,2042
2864,3358
2865,2070
2865,2071
2865,2348
2865,3358
2866,2070
2866,2071
2866,2348
2866,2355
2866,2363
2867,2353
2867,2355
2868,2618
2868,2067
2868,2070
2868,2071
2868,2348
2868,2353
2868,2355
2751,1976
2869,1994
2869,1995
2869,1996
2870,2038
2870,2359
2870,2360
2870,2361
2870,2630
2870,2352
2870,2628
2755,1980
2802,2375
2802,2677
2802,1980
2812,2370
2873,3389
2874,2366
2874,2388
2875,1980
2875,2364
2876,1980
2876,2364
2877,1980
2877,2364
2878,1980
2879,1980
2879,2364
2879,2669
2879,2678
2880,1980
2880,2364
2880,2369
2881,2369
2881,1970
2882,1980
2882,2364
2883,1980
2883,2364
2884,2365
2884,2349
2885,1980
2885,2350
2886,1981
2887,2375
2887,2613
2888,3358
2895,2388
2895,2675
2895,2676
2896,2612
2896,2613
2896,2677
2896,2388
2731,1989
2798,1989
2799,1989
2803,1989
2810,2025
2810,2625
2811,2378
2891,2646
2892,2066
2892,2068
2893,2066
2893,2068
2894,2066
2894,2068
2897,2069
2897,2388
2899,1999
2899,2041
2899,2619
2899,2632
